                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
                      1,                 1.5272,                  2.967,                 1.0256,                0.96406,                0.06485,                0.10889,                0.05752,                 1.6963,                 2.7634,                0.98219,             0.00031108,             0.00031108,             0.00031108
                      2,                 1.3917,                 1.2749,                0.93792,                0.92166,                0.15741,                0.16872,                0.09382,                 1.4948,                 1.5644,                0.96163,             0.00057058,             0.00057058,             0.00057058
                      3,                 1.3048,                 1.0865,                0.91938,                0.64376,                0.18776,                0.18718,                  0.108,                 1.3724,                 1.3135,                0.92854,             0.00076628,             0.00076628,             0.00076628
                      4,                 1.2748,                0.97617,                0.91395,                0.72991,                0.22659,                0.23716,                0.12861,                 1.3385,                 1.1564,                0.94479,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.2238,                0.88726,                0.90013,                0.51548,                0.30928,                0.27718,                0.15338,                 1.2907,                 1.0416,                0.93517,             0.00078103,             0.00078103,             0.00078103
                      6,                 1.1962,                0.82556,                 0.9037,                0.75125,                0.29975,                 0.2997,                0.16741,                 1.2691,                0.98936,                0.92961,             0.00067104,             0.00067104,             0.00067104
                      7,                 1.1541,                0.78847,                0.88442,                0.75378,                0.30631,                 0.2966,                0.16691,                 1.2233,                0.92813,                0.92064,             0.00056105,             0.00056105,             0.00056105
                      8,                 1.1326,                0.76073,                0.88307,                0.53831,                 0.3883,                0.33412,                0.18859,                 1.2196,                0.89531,                 0.9153,             0.00045107,             0.00045107,             0.00045107
                      9,                 1.0967,                0.73734,                0.87572,                0.79664,                0.31457,                0.35443,                0.19793,                 1.2051,                0.87262,                0.91082,             0.00034108,             0.00034108,             0.00034108
                     10,                 1.0772,                0.71711,                0.87487,                 0.5302,                0.36981,                0.34034,                 0.2018,                 1.1696,                0.81325,                0.90645,             0.00023109,             0.00023109,             0.00023109
                      1,                  1.651,                 3.1435,                 1.0593,                0.72179,                0.07942,                0.10322,                0.05066,                  1.725,                 2.7205,                0.98836,             0.00031108,             0.00031108,             0.00031108
